City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
463,Ocampo,MX,72.28,overcast clouds,21.65,-101.5,Casa de ratas
468,Sembe,CG,72.3,few clouds,1.6481,14.5806,
475,Waingapu,ID,81.27,few clouds,-9.6567,120.2641,Pondok Wisata Elim
476,Vila Do Maio,CV,81.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
477,Koulikoro,ML,87.21,clear sky,14.0,-7.75,
480,Honiara,SB,76.78,overcast clouds,-9.4333,159.95,Heritage Park Hotel
485,Zhuhai,CN,78.06,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
486,Nouakchott,MR,82.33,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
488,Tual,ID,83.64,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
495,Lompoc,US,79.11,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
504,Chauk,MM,75.72,broken clouds,20.8833,94.8167,Bo Khin Guest House
505,Guhagar,IN,76.64,few clouds,17.4842,73.1929,Hotel Seawinds
508,Kapoeta,SS,81.91,clear sky,4.7717,33.5903,Eastgate Hotel
509,Saint-Joseph,RE,71.98,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
513,Moyale,KE,71.28,scattered clouds,3.5167,39.0584,La Tahzan Guest House
514,Paredon,MX,86.45,overcast clouds,16.0333,-93.8667,Hotel Principal Paredon
516,Aracoiaba Da Serra,BR,86.86,few clouds,-23.5053,-47.6142,Hotel Fazenda Estância Reviver
520,Jalu,LY,80.2,clear sky,29.0331,21.5482,صاحبة الفخامة
524,Akyab,MM,76.19,overcast clouds,20.15,92.9,Hotel Memory
525,Praya,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
528,Aquiraz,BR,84.29,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
530,Matara,LK,76.89,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
535,Boende,CD,72.41,broken clouds,-0.2167,20.8667,
538,Rapid Valley,US,70.03,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
540,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
541,Luorong,CN,70.03,scattered clouds,24.4058,109.6086,荣立大酒店
543,Mpika,ZM,73.58,few clouds,-11.8343,31.4529,Melodies Lodge
546,Sesheke,ZM,77.65,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
549,Catuday,PH,77.99,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
553,Boyolangu,ID,75.51,overcast clouds,-8.1181,111.8935,Yos ega cv
556,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
562,Borba,BR,89.91,light rain,-4.3878,-59.5939,Hotel da Amazônia
566,Iracoubo,GF,83.91,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
567,Rock Sound,BS,79.52,overcast clouds,24.9,-76.2,Rock Sound Club
568,Cidreira,BR,71.38,broken clouds,-30.1811,-50.2056,Hotel Castelo
570,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
572,Ewa Beach,US,81.09,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
574,Santa Ana,US,88.03,haze,33.7456,-117.8678,Santa Ana Travel Inn
575,Bandarbeyla,SO,78.12,clear sky,9.4942,50.8122,JABIR HOTEL
577,Itarema,BR,84.9,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
579,Thinadhoo,MV,83.55,overcast clouds,0.5333,72.9333,
580,Midrand,ZA,72.7,broken clouds,-25.9636,28.1378,Mercure Johannesburg Midrand Hotel
585,Yangjiang,CN,72.95,few clouds,21.85,111.9667,HUALUXE Yangjiang City Center
586,Marsabit,KE,75.18,overcast clouds,2.3284,37.9899,Chicho Hotel
588,Terre-De-Bas,GP,86.41,broken clouds,15.8501,-61.6442,Hôtel Bois Joli
590,Acuitzio,MX,78.53,broken clouds,20.345,-101.9771,Calzada Ignacio zaragoza 71
592,Fougamou,GA,75.79,moderate rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
593,Tambura,SS,70.65,light rain,5.6,27.4667,Rikito Lodge
