City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Kloulklubed,PW,7.0419,134.2556,77.5,76,100,8.25,overcast clouds
253,Poum,NC,-20.2333,164.0167,73.89,70,86,13.78,overcast clouds
254,Sjovegan,NO,68.8726,17.8474,41.14,94,78,5.93,broken clouds
255,Santa Cruz Cabralia,BR,-16.2781,-39.0247,79.03,83,75,9.22,broken clouds
256,Swellendam,ZA,-34.0226,20.4417,59.38,66,99,6.2,overcast clouds
257,Luderitz,NA,-26.6481,15.1594,61.47,77,70,17.34,broken clouds
258,Carlisle,US,40.2015,-77.1889,51.44,41,100,2.24,overcast clouds
259,Marzuq,YE,14.4,46.4667,71.13,25,0,2.15,clear sky
260,Cabo San Lucas,MX,22.8909,-109.9124,89.62,48,1,3.0,clear sky
261,Sur,OM,22.5667,59.5289,75.76,64,4,5.64,clear sky
262,Tukrah,LY,32.5341,20.5791,78.84,38,70,6.11,broken clouds
263,Kashirskoye,RU,51.4194,39.6125,46.62,89,95,9.89,overcast clouds
264,Gasa,PS,31.5,34.4667,71.91,72,0,12.37,clear sky
265,Senneterre,CA,48.3835,-77.2328,32.22,42,94,7.81,overcast clouds
266,Hambantota,LK,6.1241,81.1185,79.39,82,86,12.77,light rain
267,Kananga,CD,-5.8958,22.4178,72.79,70,16,2.46,few clouds
268,Bure,ET,10.7,37.0667,55.98,80,19,4.83,few clouds
269,San Marcos,US,33.1434,-117.1661,87.22,69,1,1.99,haze
270,Saint-Georges,GD,12.0564,-61.7485,85.68,66,20,20.71,few clouds
271,Havre-Saint-Pierre,CA,50.2334,-63.5986,39.56,52,40,11.5,scattered clouds
272,Aklavik,CA,68.2191,-135.0107,22.03,93,75,2.3,broken clouds
273,Khorixas,NA,-20.3667,14.9667,71.17,27,7,9.1,clear sky
274,Palembang,ID,-2.9167,104.7458,74.41,96,100,5.41,heavy intensity rain
275,Pochutla,MX,15.7432,-96.4661,90.82,53,58,5.7,broken clouds
276,Pandan,PH,14.0453,124.1694,79.41,89,100,12.62,heavy intensity rain
277,Piopio,NZ,-38.4667,175.0167,59.95,72,92,5.12,light rain
278,Kahului,US,20.8947,-156.47,82.42,81,40,18.41,scattered clouds
279,Penzance,GB,50.1186,-5.5371,49.77,66,92,20.69,overcast clouds
280,Bilibino,RU,68.0546,166.4372,-10.79,98,99,1.86,overcast clouds
281,Maldonado,UY,-34.6667,-54.9167,72.79,74,92,7.87,overcast clouds
282,Dana Point,US,33.467,-117.6981,85.91,83,24,4.0,few clouds
283,Mwanga,TZ,-4.8,38.2,74.68,81,22,2.66,few clouds
284,Thanh Hoa,VN,19.8,105.7667,73.08,96,40,2.75,scattered clouds
285,Port Hardy,CA,50.6996,-127.4199,51.98,100,90,6.91,mist
286,Juneau,US,58.3019,-134.4197,41.11,95,90,0.0,overcast clouds
287,Mogadishu,SO,2.0371,45.3438,79.39,80,100,12.82,overcast clouds
288,Saint-Francois,FR,46.4154,3.9054,45.48,92,90,2.3,overcast clouds
289,Kavieng,PG,-2.5744,150.7967,82.27,71,100,15.59,overcast clouds
