City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,Chapais,49.7834,-74.8492,47.98,65,95,7.58,CA,2021-10-30 22:25:14
123,Tazovskiy,67.4667,78.7,8.65,94,100,14.72,RU,2021-10-30 22:28:29
124,Togul,53.465,85.9128,33.28,95,100,10.07,RU,2021-10-30 22:28:29
125,Torbay,47.6666,-52.7314,41.4,80,1,4.61,CA,2021-10-30 22:24:41
126,Klaksvik,62.2266,-6.589,47.32,91,100,12.68,FO,2021-10-30 22:28:30
127,Sisimiut,66.9395,-53.6735,35.35,97,100,38.23,GL,2021-10-30 22:28:30
128,Payette,44.0782,-116.9338,64.27,34,1,6.91,US,2021-10-30 22:28:30
129,Abha,18.2164,42.5053,58.82,51,0,6.91,SA,2021-10-30 22:28:31
130,Georgetown,5.4112,100.3354,78.73,92,40,1.01,MY,2021-10-30 22:24:10
131,Katsuura,35.1333,140.3,59.14,74,100,5.17,JP,2021-10-30 22:25:43
132,Kieta,-6.2167,155.6333,80.29,81,97,4.21,PG,2021-10-30 22:28:31
133,Mahanoro,-19.9,48.8,70.9,87,88,4.27,MG,2021-10-30 22:28:31
134,Baley,51.6,116.6333,18.75,50,8,4.7,RU,2021-10-30 22:28:31
135,Vestmannaeyjar,63.4427,-20.2734,43.56,77,87,5.03,IS,2021-10-30 22:28:32
136,Ahipara,-35.1667,173.1667,61.77,85,100,7.94,NZ,2021-10-30 22:29:32
137,San Andres,12.5847,-81.7006,84.22,79,75,12.66,CO,2021-10-30 22:29:32
138,Mecca,21.4267,39.8261,80.55,60,0,2.17,SA,2021-10-30 22:29:33
139,Erenhot,43.6475,111.9767,31.41,52,42,6.55,CN,2021-10-30 22:29:33
140,Wuwei,37.9281,102.6414,38.43,44,1,0.58,CN,2021-10-30 22:29:33
141,Talnakh,69.4865,88.3972,12.85,96,100,4.63,RU,2021-10-30 22:29:33
142,Tutoia,-2.7619,-42.2744,80.31,78,99,9.35,BR,2021-10-30 22:29:34
143,Saint-Joseph,-21.3667,55.6167,68.38,81,65,1.54,RE,2021-10-30 22:29:34
144,Mabaruma,8.2,-59.7833,76.01,89,92,3.47,GY,2021-10-30 22:29:34
145,Saskylakh,71.9167,114.0833,11.86,92,100,12.12,RU,2021-10-30 22:29:35
146,Khatanga,71.9667,102.5,-4.68,99,79,1.63,RU,2021-10-30 22:29:35
147,Valparaiso,-33.0393,-71.6273,61.48,77,0,8.05,CL,2021-10-30 22:29:35
148,Deputatskiy,69.3,139.9,-8.27,98,98,5.17,RU,2021-10-30 22:29:35
149,Casalecchio Di Reno,44.4756,11.2759,58.24,83,75,3.44,IT,2021-10-30 22:29:36
150,Pringsewu,-5.3582,104.9744,74.14,95,98,1.28,ID,2021-10-30 22:29:36
151,Sitka,57.0531,-135.33,48.09,61,90,10.36,US,2021-10-30 22:25:06
152,Nantucket,41.2835,-70.0995,62.74,90,90,19.57,US,2021-10-30 22:29:36
153,Yar-Sale,66.8333,70.8333,9.34,90,98,17.27,RU,2021-10-30 22:29:36
154,Nioro,13.35,-15.75,74.7,77,100,7.61,GM,2021-10-30 22:29:37
155,Christchurch,-43.5333,172.6333,68.32,37,0,4.0,NZ,2021-10-30 22:26:13
156,Tooele,40.5308,-112.2983,67.95,63,1,5.75,US,2021-10-30 22:28:19
157,Indianola,41.3581,-93.5574,62.01,52,0,4.83,US,2021-10-30 22:29:20
158,Airai,-8.9266,125.4092,63.64,85,29,0.72,TL,2021-10-30 22:28:19
159,Bluff,-46.6,168.3333,51.53,90,95,25.84,NZ,2021-10-30 22:29:37
160,Leshukonskoye,64.8989,45.7622,32.43,99,100,3.89,RU,2021-10-30 22:29:38
161,Waingapu,-9.6567,120.2641,80.38,80,100,3.11,ID,2021-10-30 22:29:38
162,Sakakah,29.9697,40.2064,74.77,29,100,6.98,SA,2021-10-30 22:29:38
163,San Pedro,14.35,121.0167,81.1,78,20,3.44,PH,2021-10-30 22:29:38
164,Kirkwall,58.9848,-2.9587,47.97,87,75,8.05,GB,2021-10-30 22:29:39
165,General Roca,-39.0333,-67.5833,66.6,19,100,17.92,AR,2021-10-30 22:29:39
166,San Quintin,30.4833,-115.95,68.29,70,0,13.09,MX,2021-10-30 22:29:39
167,Honningsvag,70.9821,25.9704,41.23,68,100,11.01,NO,2021-10-30 22:28:25
168,Guarapari,-20.6667,-40.4975,71.49,93,100,0.49,BR,2021-10-30 22:29:40
169,Pacific Grove,36.6177,-121.9166,72.61,86,90,5.01,US,2021-10-30 22:24:53
170,Lovozero,68.005,35.0117,32.32,99,100,0.09,RU,2021-10-30 22:29:40
171,Leningradskiy,69.3833,178.4167,-1.08,97,99,6.38,RU,2021-10-30 22:29:40
172,Bestobe,52.4994,73.0975,36.59,96,100,23.55,KZ,2021-10-30 22:29:40
173,Mayumba,-3.432,10.6554,77.77,90,97,8.21,GA,2021-10-30 22:29:41
174,Carnarvon,-24.8667,113.6333,66.27,68,0,13.8,AU,2021-10-30 22:29:41
175,Talaya,61.3833,152.75,-0.38,98,100,4.99,RU,2021-10-30 22:29:41
176,Lethem,3.3803,-59.7968,80.46,70,69,4.38,GY,2021-10-30 22:29:42
177,Souillac,-20.5167,57.5167,70.36,94,20,3.44,MU,2021-10-30 22:29:42
178,Kargasok,59.0556,80.8572,23.94,78,100,7.45,RU,2021-10-30 22:29:42
179,Akhty,41.4597,47.7312,44.13,80,82,6.02,RU,2021-10-30 22:29:42
180,Tasiilaq,65.6145,-37.6368,24.96,65,91,5.14,GL,2021-10-30 22:29:43
181,San Vicente,-26.6167,-54.1333,60.51,99,100,1.54,AR,2021-10-30 22:30:43
182,Iqaluit,63.7506,-68.5145,37.13,69,75,11.99,CA,2021-10-30 22:29:51
183,Mount Isa,-20.7333,139.5,78.57,22,75,13.8,AU,2021-10-30 22:30:43
184,Avera,33.194,-82.5271,59.68,77,100,11.65,US,2021-10-30 22:30:44
185,Lagoa,39.05,-27.9833,70.38,84,100,23.17,PT,2021-10-30 22:30:44
186,Upernavik,72.7868,-56.1549,27.77,58,100,8.1,GL,2021-10-30 22:29:40
